state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
California,Female,High School or Below,2742.8442999999997,64519.0,69.0,1,Corporate Auto,Four-Door Car,331.2
Oregon,Female,High School or Below,13466.9207,11432.0,119.0,0,Personal Auto,SUV,571.2
Nevada,Female,College,8858.351999999999,0.0,80.0,0,Personal Auto,Two-Door Car,81.255741
California,Male,High School or Below,8485.33,32607.0,111.0,1,Corporate Auto,SUV,532.8
Arizona,Female,High School or Below,7744.644399999999,26444.0,196.0,0,Personal Auto,Luxury Car,940.8
Oregon,Female,High School or Below,5894.9074,39381.0,74.0,1,Personal Auto,Four-Door Car,355.2
Nevada,Male,College,5770.6841,0.0,83.0,0,Personal Auto,Four-Door Car,946.345269
Oregon,Male,High School or Below,5261.1175,90217.0,66.0,1,Personal Auto,Four-Door Car,316.8
Oregon,Male,High School or Below,2403.5395000000003,24248.0,70.0,3,Personal Auto,Four-Door Car,336.0
Arizona,Male,Bachelor,9124.6,99368.0,113.0,0,Personal Auto,Four-Door Car,82.427785
Arizona,Female,High School or Below,26180.805299999996,68189.0,82.0,1,Special Auto,Four-Door Car,343.121192
Nevada,Female,Master,15641.258600000001,32370.0,130.0,0,Corporate Auto,SUV,487.736171
Arizona,Female,Master,2574.0204,34990.0,65.0,0,Personal Auto,Four-Door Car,42.689135
California,Female,High School or Below,5319.8387,25714.0,67.0,0,Personal Auto,Two-Door Car,321.6
Oregon,Male,College,7496.006600000001,61091.0,95.0,0,Personal Auto,Two-Door Car,409.868003
Arizona,Male,College,12174.5896,88184.0,104.0,3,Personal Auto,Four-Door Car,240.176533
California,Female,College,2605.5708,60252.0,65.0,0,Personal Auto,Four-Door Car,182.436205
Oregon,Male,College,2707.2084999999997,80985.0,67.0,0,Personal Auto,Four-Door Car,124.933587
Washington,Female,College,2794.9075,39783.0,72.0,0,Personal Auto,Two-Door Car,345.6
California,Male,High School or Below,8819.018900000001,99845.0,110.0,1,Personal Auto,SUV,528.0
Washington,Female,Bachelor,5345.9946,0.0,72.0,0,Personal Auto,Four-Door Car,345.6
Oregon,Female,College,8169.514,40803.0,71.0,3,Personal Auto,Four-Door Car,122.912377
Oregon,Female,College,7708.8839,71134.0,98.0,3,Personal Auto,Two-Door Car,196.37368
Arizona,Male,Bachelor,5528.2128,36088.0,72.0,0,Personal Auto,Four-Door Car,345.6
Nevada,Male,College,12128.446699999999,29431.0,103.0,0,Personal Auto,SUV,237.896227
Washington,Male,Bachelor,5528.2128,36088.0,72.0,0,Personal Auto,Four-Door Car,345.6
Oregon,Male,College,6796.8448,17937.0,65.0,0,Personal Auto,Two-Door Car,312.0
Arizona,Female,Bachelor,2867.3122,23376.0,78.0,0,Personal Auto,Four-Door Car,374.4
California,Female,Doctor,2395.57,21986.0,63.0,0,Personal Auto,Two-Door Car,333.696228
Arizona,Female,Bachelor,7094.1677,23032.0,89.0,0,Corporate Auto,Four-Door Car,427.2
Oregon,Female,College,4128.0913,32114.0,104.0,0,Corporate Auto,SUV,445.29049
California,Male,Bachelor,4046.9361,13330.0,117.0,0,Corporate Auto,SUV,561.6
California,Female,College,4869.2828,44934.0,61.0,0,Personal Auto,Four-Door Car,357.926979
Oregon,Female,College,2902.1519,96137.0,73.0,2,Corporate Auto,Two-Door Car,67.490616
Oregon,Female,College,4282.948,40864.0,109.0,1,Personal Auto,SUV,166.937747
California,Female,College,7750.1203000000005,22668.0,67.0,1,Personal Auto,Four-Door Car,33.718553
Oregon,Male,College,6627.174599999999,90751.0,82.0,1,Personal Auto,Two-Door Car,315.826382
Oregon,Male,College,7474.605799999999,44186.0,64.0,2,Personal Auto,Four-Door Car,295.04969
Oregon,Male,College,5561.2914,92678.0,70.0,0,Personal Auto,Four-Door Car,34.689611
Arizona,Female,Bachelor,6098.4621,74257.0,76.0,0,Personal Auto,Four-Door Car,214.586742
California,Male,Bachelor,2859.5289000000002,99981.0,71.0,0,Special Auto,Four-Door Car,204.872273
Arizona,Male,College,5994.424599999999,0.0,91.0,0,Personal Auto,Four-Door Car,655.2
Arizona,Female,College,5635.2495,19591.0,74.0,0,Personal Auto,Two-Door Car,95.925021
California,Female,College,5067.2083,29095.0,127.0,0,Personal Auto,SUV,664.280864
Oregon,Female,Bachelor,2263.2846,0.0,62.0,0,Corporate Auto,Four-Door Car,389.750793
Arizona,Male,Master,14435.673700000001,60880.0,119.0,0,Corporate Auto,Two-Door Car,109.906628
Arizona,Female,Bachelor,4928.3971,61785.0,61.0,0,Personal Auto,Two-Door Car,271.10697
Oregon,Male,Bachelor,12036.6205,44428.0,104.0,0,Special Auto,SUV,499.2
California,Male,High School or Below,8564.768199999999,95697.0,107.0,0,Personal Auto,Sports Car,178.006524
California,Female,Bachelor,2361.8839000000003,18064.0,63.0,2,Personal Auto,Four-Door Car,182.964184
California,Male,High School or Below,5565.6933,74720.0,70.0,0,Personal Auto,Two-Door Car,200.812425
California,Female,Bachelor,5146.8098,22594.0,67.0,0,Personal Auto,Four-Door Car,321.6
Arizona,Female,Bachelor,2938.0803,40987.0,73.0,0,Personal Auto,Four-Door Car,329.013275
Nevada,Male,High School or Below,14432.746399999998,24561.0,126.0,0,Personal Auto,SUV,853.473552
California,Female,College,13027.4198,76456.0,83.0,1,Personal Auto,Four-Door Car,42.693918
California,Male,College,2451.9888,65828.0,62.0,0,Personal Auto,Four-Door Car,297.6
Oregon,Female,College,4661.9841,0.0,68.0,1,Personal Auto,Four-Door Car,489.6
Arizona,Female,Bachelor,5600.010200000001,63621.0,70.0,0,Personal Auto,Four-Door Car,444.620265
Arizona,Male,College,4016.1328000000003,10074.0,107.0,0,Corporate Auto,SUV,108.995934
Oregon,Female,College,22195.803,78965.0,183.0,0,Personal Auto,Luxury Car,145.587985
Nevada,Female,College,7343.3537,0.0,68.0,0,Personal Auto,Four-Door Car,479.028818
Arizona,Male,Bachelor,4804.5143,23604.0,64.0,0,Corporate Auto,Two-Door Car,460.8
Oregon,Female,College,2735.5389,99205.0,68.0,0,Personal Auto,Two-Door Car,323.246017
Arizona,Male,College,6940.9728000000005,0.0,92.0,0,Personal Auto,Two-Door Car,441.6
California,Female,Bachelor,2396.2192999999997,0.0,66.0,2,Corporate Auto,Four-Door Car,433.160284
Nevada,Female,College,5380.8985999999995,55350.0,67.0,0,Personal Auto,Four-Door Car,321.6
Oregon,Male,College,8432.8157,21052.0,111.0,0,Corporate Auto,SUV,453.578343
Oregon,Female,High School or Below,7556.5075,0.0,69.0,0,Personal Auto,Four-Door Car,496.8
Arizona,Male,High School or Below,7787.4317,24664.0,69.0,0,Corporate Auto,Four-Door Car,496.8
Nevada,Male,College,4787.8129,45225.0,124.0,0,Corporate Auto,Sports Car,209.176923
California,Male,College,9707.6476,30430.0,86.0,0,Special Auto,Four-Door Car,425.662574
California,Female,Bachelor,2552.2262,35149.0,64.0,0,Personal Auto,Two-Door Car,120.477298
California,Male,Bachelor,5223.4293,16513.0,71.0,0,Personal Auto,Four-Door Car,340.8
Nevada,Male,High School or Below,5010.4493,10892.0,66.0,0,Personal Auto,Four-Door Car,316.8
Washington,Male,High School or Below,5608.3163,67176.0,72.0,0,Personal Auto,Four-Door Car,345.6
Oregon,Male,College,4457.9363,54704.0,113.0,0,Personal Auto,SUV,468.176056
Oregon,Male,Doctor,8200.7873,25381.0,71.0,0,Personal Auto,Four-Door Car,340.8
Oregon,Female,High School or Below,2746.0801,0.0,74.0,0,Personal Auto,Four-Door Car,355.2
Oregon,Female,Bachelor,10215.7792,18150.0,67.0,0,Corporate Auto,Four-Door Car,220.304649
California,Male,Bachelor,2453.5708,29735.0,69.0,0,Personal Auto,Four-Door Car,331.2
Nevada,Female,College,5872.9588,77156.0,73.0,0,Personal Auto,Four-Door Car,445.817914
Oregon,Female,College,3118.9278999999997,88782.0,78.0,0,Personal Auto,Four-Door Car,357.757645
California,Female,College,5568.6565,51489.0,139.0,0,Personal Auto,SUV,236.739322
California,Female,Bachelor,9029.7147,16972.0,125.0,0,Personal Auto,SUV,600.0
California,Male,Bachelor,7591.8272,99359.0,95.0,0,Personal Auto,Two-Door Car,233.265397
Arizona,Male,College,2255.3129,58289.0,62.0,4,Personal Auto,Two-Door Car,297.6
Oregon,Female,Doctor,32613.6904,45173.0,268.0,0,Personal Auto,Luxury Car,1286.4
California,Female,Bachelor,9445.6495,93246.0,78.0,0,Personal Auto,Two-Door Car,41.628869
Arizona,Male,High School or Below,6803.5968,43758.0,171.0,0,Corporate Auto,SUV,1129.929433
Oregon,Male,Bachelor,9766.2171,75651.0,81.0,0,Personal Auto,Four-Door Car,375.11129
Arizona,Female,Doctor,7294.8461,0.0,67.0,0,Personal Auto,Four-Door Car,321.6
Oregon,Female,Doctor,5682.5153,36938.0,70.0,0,Special Auto,Four-Door Car,244.801119
California,Male,Bachelor,6332.9418000000005,50843.0,82.0,0,Personal Auto,Two-Door Car,393.6
California,Female,Bachelor,4916.577,21907.0,62.0,0,Personal Auto,Four-Door Car,2.96438
California,Female,Bachelor,4798.240900000001,77846.0,119.0,0,Personal Auto,Sports Car,342.471939
Washington,Male,Bachelor,5643.8024,41043.0,72.0,0,Personal Auto,Four-Door Car,345.6
Arizona,Female,High School or Below,9247.464399999999,97030.0,76.0,0,Corporate Auto,Four-Door Car,416.637499
Oregon,Male,High School or Below,7322.9289,80864.0,182.0,0,Personal Auto,Luxury SUV,618.210272
Nevada,Female,College,8275.9001,48197.0,106.0,0,Personal Auto,Four-Door Car,508.8
California,Male,Doctor,5635.4037,70837.0,73.0,4,Personal Auto,Four-Door Car,362.743231
Arizona,Male,High School or Below,14970.285100000001,85297.0,93.0,0,Special Auto,Two-Door Car,620.011594
Oregon,Female,Master,9336.3369,70177.0,115.0,0,Personal Auto,Four-Door Car,225.517666
Nevada,Male,College,48356.9608,52499.0,138.0,0,Personal Auto,SUV,1171.537594
Oregon,Male,College,5686.915300000001,63143.0,71.0,0,Corporate Auto,Four-Door Car,340.8
Oregon,Male,Bachelor,8622.8354,97361.0,73.0,0,Personal Auto,Four-Door Car,350.4
Nevada,Male,High School or Below,5079.6748,50052.0,130.0,0,Personal Auto,Sports Car,624.0
Arizona,Female,Bachelor,5623.3144999999995,11612.0,71.0,0,Personal Auto,Four-Door Car,340.8
Arizona,Female,High School or Below,5270.0136,78115.0,65.0,0,Personal Auto,Four-Door Car,255.454322
California,Female,Master,8621.172199999999,81947.0,71.0,0,Personal Auto,Two-Door Car,203.993499
Oregon,Male,College,7918.3349,44698.0,211.0,4,Personal Auto,Luxury Car,1012.8
California,Female,High School or Below,21034.0182,26876.0,66.0,0,Personal Auto,Four-Door Car,219.209762
Oregon,Female,College,15417.6822,69841.0,192.0,0,Personal Auto,Luxury SUV,878.812468
Oregon,Female,High School or Below,8692.6368,97768.0,72.0,0,Personal Auto,Two-Door Car,151.843731
Oregon,Male,High School or Below,6503.1439,0.0,187.0,0,Personal Auto,Luxury Car,1588.682955
Washington,Female,High School or Below,2396.1924,39062.0,61.0,0,Corporate Auto,Two-Door Car,346.991025
Oregon,Female,Bachelor,5914.951800000001,50217.0,74.0,0,Personal Auto,Two-Door Car,355.2
Washington,Female,Bachelor,2248.4496,24910.0,63.0,1,Personal Auto,Four-Door Car,347.857619
Nevada,Male,College,6826.7977,0.0,68.0,0,Personal Auto,Two-Door Car,489.6
Oregon,Female,Doctor,3982.1807,38500.0,99.0,1,Corporate Auto,Four-Door Car,423.286512
Nevada,Female,High School or Below,2887.7796999999996,62018.0,71.0,0,Personal Auto,Two-Door Car,293.865315
Oregon,Female,College,2252.4168,0.0,65.0,0,Personal Auto,Two-Door Car,468.0
California,Male,Master,8458.5313,57394.0,106.0,0,Personal Auto,Four-Door Car,316.492058
California,Male,Bachelor,7478.3137,23530.0,65.0,0,Corporate Auto,Two-Door Car,312.0
California,Female,High School or Below,3788.6497999999997,48887.0,95.0,0,Personal Auto,Four-Door Car,456.0
Oregon,Female,Master,5220.6853,68867.0,129.0,0,Personal Auto,SUV,619.2
California,Female,College,7130.2948,12062.0,63.0,0,Corporate Auto,Four-Door Car,302.4
Arizona,Male,College,8513.592700000001,59230.0,107.0,0,Personal Auto,SUV,245.076091
Arizona,Female,Bachelor,5660.1338,59586.0,72.0,0,Personal Auto,Four-Door Car,91.198362
Washington,Female,Bachelor,2638.1401,79699.0,65.0,0,Personal Auto,Two-Door Car,348.82656
Arizona,Female,Bachelor,5318.8966,25134.0,67.0,0,Personal Auto,Four-Door Car,321.6
Oregon,Female,College,4160.1626,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
Oregon,Female,College,2237.3478,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Male,College,3460.123,0.0,100.0,1,Personal Auto,SUV,720.0
California,Male,Bachelor,16005.5051,44901.0,70.0,2,Personal Auto,Four-Door Car,460.806124
Arizona,Female,Bachelor,6986.6037,0.0,93.0,0,Personal Auto,Four-Door Car,149.269407
Oregon,Female,Bachelor,8826.9615,28463.0,113.0,2,Personal Auto,SUV,324.317667
Nevada,Female,Bachelor,4726.8693,13037.0,124.0,0,Personal Auto,SUV,839.348464
California,Male,High School or Below,27443.4748,82320.0,99.0,1,Personal Auto,Four-Door Car,475.2
California,Female,Bachelor,7247.3135,0.0,104.0,0,Personal Auto,SUV,499.2
Oregon,Female,College,5137.8521,78460.0,64.0,0,Personal Auto,Four-Door Car,203.568733
Nevada,Male,College,2739.0571999999997,0.0,92.0,4,Personal Auto,Two-Door Car,657.290491
California,Male,College,5092.793900000001,46922.0,64.0,0,Corporate Auto,Two-Door Car,403.385123
California,Male,College,5799.826800000001,60689.0,74.0,0,Corporate Auto,Four-Door Car,5.746657
Nevada,Female,Master,5507.0632,0.0,71.0,0,Personal Auto,Four-Door Car,340.8
Oregon,Female,College,10484.9154,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
Arizona,Male,Bachelor,8501.28,98003.0,107.0,0,Personal Auto,SUV,449.408637
Washington,Female,High School or Below,2935.9883,73847.0,73.0,1,Personal Auto,Two-Door Car,350.4
Arizona,Female,High School or Below,6503.397,22081.0,84.0,0,Personal Auto,Two-Door Car,451.670309
Nevada,Male,High School or Below,46805.223099999996,83006.0,235.0,1,Personal Auto,Luxury SUV,1065.049894
Arizona,Female,College,4834.7105,38713.0,66.0,4,Corporate Auto,Four-Door Car,316.8
Oregon,Female,College,2575.3237,28700.0,68.0,3,Personal Auto,Four-Door Car,326.4
California,Female,Master,37111.6595,61552.0,115.0,0,Personal Auto,SUV,12.252847
Nevada,Male,College,4371.1903999999995,56718.0,113.0,1,Personal Auto,SUV,542.4
Oregon,Male,Doctor,16796.336,66776.0,71.0,0,Corporate Auto,Four-Door Car,131.808343
California,Male,High School or Below,7988.5064,58268.0,67.0,0,Corporate Auto,Two-Door Car,228.641342
California,Male,College,2269.8410999999996,0.0,68.0,0,Personal Auto,Four-Door Car,542.016902
California,Male,Doctor,4991.472,12608.0,66.0,1,Personal Auto,Four-Door Car,214.866605
California,Male,Master,2921.9309000000003,63499.0,73.0,0,Personal Auto,Four-Door Car,278.964095
Oregon,Male,High School or Below,7613.1931,36247.0,96.0,0,Corporate Auto,Four-Door Car,329.522858
California,Female,Master,5827.4097,30228.0,73.0,0,Personal Auto,Four-Door Car,163.345647
Oregon,Female,College,2600.6412,0.0,74.0,0,Personal Auto,Two-Door Car,501.472124
California,Female,High School or Below,8491.465699999999,0.0,116.0,0,Personal Auto,Four-Door Car,1193.115879
Arizona,Female,Bachelor,9778.7336,99364.0,121.0,0,Personal Auto,Sports Car,580.8
California,Male,Bachelor,22658.5365,23665.0,67.0,0,Personal Auto,Four-Door Car,404.817249
Arizona,Female,College,10004.0276,0.0,94.0,0,Corporate Auto,Four-Door Car,807.168846
Oregon,Male,High School or Below,4872.7744,69247.0,61.0,1,Corporate Auto,Two-Door Car,226.522147
Arizona,Female,College,7444.8146,56047.0,92.0,0,Corporate Auto,Four-Door Car,82.733588
Oregon,Male,College,5761.1112,28919.0,73.0,0,Personal Auto,Two-Door Car,207.828024
Oregon,Female,Doctor,5366.779100000001,0.0,70.0,0,Personal Auto,Four-Door Car,223.174067
Oregon,Female,College,6259.477800000001,0.0,83.0,0,Personal Auto,Four-Door Car,254.142365
Arizona,Male,High School or Below,7623.5806999999995,69900.0,64.0,0,Personal Auto,Two-Door Car,33.97
California,Male,High School or Below,10963.957199999999,55687.0,276.0,0,Personal Auto,Luxury SUV,1324.8
Oregon,Female,Bachelor,7427.8451000000005,78294.0,92.0,0,Personal Auto,Four-Door Car,181.148732
Washington,Female,Bachelor,5504.139,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Arizona,Male,Bachelor,4665.1296,0.0,62.0,0,Personal Auto,Two-Door Car,297.6
California,Female,High School or Below,6021.8425,0.0,168.0,0,Personal Auto,SUV,1476.670903
Nevada,Male,High School or Below,3074.1054999999997,0.0,104.0,3,Personal Auto,Sports Car,748.8
Oregon,Female,College,4953.0864,21385.0,127.0,0,Corporate Auto,SUV,609.6
California,Male,Master,7780.4893,87128.0,97.0,0,Personal Auto,Two-Door Car,495.612777
Nevada,Female,College,7992.779100000001,35434.0,66.0,0,Personal Auto,Four-Door Car,297.051768
California,Female,Master,4170.6873,29462.0,107.0,1,Corporate Auto,SUV,513.6
Nevada,Female,College,23228.236699999998,53243.0,102.0,3,Personal Auto,Four-Door Car,489.6
California,Male,High School or Below,5445.816999999999,21006.0,139.0,1,Personal Auto,SUV,667.2
California,Female,College,4558.4984,0.0,65.0,0,Personal Auto,Two-Door Car,312.0
Oregon,Male,Bachelor,5528.2128,36088.0,72.0,0,Corporate Auto,Four-Door Car,345.6
Oregon,Female,College,10390.6665,28948.0,131.0,0,Corporate Auto,SUV,295.83086
Nevada,Female,College,7142.5491,24417.0,185.0,0,Personal Auto,SUV,888.0
Oregon,Male,High School or Below,5469.543000000001,67099.0,69.0,0,Personal Auto,Two-Door Car,22.995594
Oregon,Female,Bachelor,11628.733999999999,97830.0,96.0,0,Personal Auto,Four-Door Car,298.362415
Arizona,Male,College,10189.6543,0.0,101.0,0,Personal Auto,Four-Door Car,727.2
Arizona,Female,High School or Below,2733.4319,93558.0,67.0,0,Personal Auto,Four-Door Car,478.234236
Arizona,Female,Doctor,4014.4531,37384.0,99.0,0,Personal Auto,Four-Door Car,475.2
Arizona,Male,Bachelor,7119.531899999999,28227.0,62.0,0,Personal Auto,Four-Door Car,551.28213
Nevada,Male,High School or Below,11772.790700000001,51008.0,74.0,0,Corporate Auto,Two-Door Car,355.2
California,Male,High School or Below,2381.7907999999998,78185.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Female,Bachelor,5208.3539,0.0,74.0,0,Personal Auto,Four-Door Car,532.8
Nevada,Male,College,5018.7279,0.0,68.0,0,Personal Auto,Four-Door Car,670.47746
Arizona,Female,Bachelor,11900.5448,97205.0,100.0,2,Personal Auto,Sports Car,5.573179
Washington,Female,Bachelor,5800.171899999999,25472.0,73.0,0,Corporate Auto,Four-Door Car,350.4
California,Female,Bachelor,5674.3812,26225.0,72.0,1,Special Auto,Four-Door Car,320.777404
Oregon,Male,College,7271.434,20545.0,70.0,0,Personal Auto,Two-Door Car,336.0
Oregon,Female,Master,3164.494,0.0,83.0,0,Personal Auto,Four-Door Car,398.4
Arizona,Female,College,2661.0334000000003,35503.0,67.0,0,Personal Auto,Two-Door Car,216.173135
Oregon,Female,College,14140.558899999998,58988.0,118.0,0,Personal Auto,Sports Car,566.4
Nevada,Female,Bachelor,7654.2271,0.0,74.0,1,Personal Auto,Two-Door Car,355.2
Nevada,Male,High School or Below,2199.7395,0.0,64.0,0,Personal Auto,Two-Door Car,685.456738
Oregon,Female,College,2004.3507,0.0,66.0,4,Special Auto,Four-Door Car,316.8
Nevada,Male,College,13111.1132,67197.0,111.0,0,Special Auto,SUV,147.948783
Nevada,Male,High School or Below,15762.603500000001,39032.0,198.0,0,Personal Auto,SUV,950.4
Oregon,Female,College,13197.928899999999,0.0,68.0,3,Personal Auto,Four-Door Car,326.4
California,Male,High School or Below,2787.5398,34927.0,70.0,0,Personal Auto,Two-Door Car,242.491357
Nevada,Male,Doctor,3436.1342999999997,30817.0,88.0,0,Personal Auto,Four-Door Car,91.834668
California,Female,Bachelor,2713.368,31535.0,70.0,0,Personal Auto,Four-Door Car,90.525716
California,Female,Bachelor,2867.3122,23376.0,78.0,0,Personal Auto,Four-Door Car,374.4
California,Female,College,14590.2458,46244.0,62.0,0,Corporate Auto,Four-Door Car,255.285875
Arizona,Male,Bachelor,6652.474499999999,34886.0,84.0,0,Personal Auto,Two-Door Car,403.2
Arizona,Male,High School or Below,2444.6211,0.0,66.0,0,Corporate Auto,Four-Door Car,316.8
Washington,Female,College,2896.9188,33746.0,74.0,1,Personal Auto,Two-Door Car,355.2
Oregon,Male,Doctor,10972.0678,24164.0,137.0,0,Personal Auto,Sports Car,657.6
Washington,Female,Bachelor,,25859.0,74.0,0,Special Auto,Four-Door Car,355.2
Oregon,Female,Bachelor,19357.372,0.0,68.0,1,Personal Auto,Four-Door Car,326.4
Arizona,Female,Bachelor,7227.120400000001,40153.0,61.0,0,Personal Auto,Four-Door Car,340.07498
Nevada,Female,College,7857.3039,0.0,104.0,0,Personal Auto,SUV,499.2
Oregon,Female,Master,5181.6209,97131.0,64.0,0,Personal Auto,Four-Door Car,307.2
Arizona,Female,High School or Below,4281.062199999999,23712.0,106.0,0,Corporate Auto,SUV,508.8
Oregon,Female,Bachelor,11513.162900000001,0.0,64.0,0,Personal Auto,Four-Door Car,307.2
Nevada,Female,Bachelor,5147.1102,33171.0,65.0,0,Personal Auto,Four-Door Car,236.643695
Nevada,Female,College,8663.4976,0.0,83.0,1,Corporate Auto,Four-Door Car,398.4
Oregon,Female,High School or Below,2535.3217,0.0,68.0,0,Corporate Auto,Four-Door Car,326.4
Nevada,Male,College,21504.338799999998,60228.0,112.0,1,Personal Auto,SUV,286.102971
Arizona,Male,High School or Below,7349.3285,27072.0,93.0,0,Personal Auto,Four-Door Car,565.336931
California,Male,Master,8509.8509,26057.0,74.0,0,Personal Auto,Four-Door Car,523.888845
Nevada,Female,High School or Below,4297.1891,66331.0,107.0,0,Personal Auto,Two-Door Car,513.6
Washington,Male,College,8717.0498,83846.0,74.0,3,Personal Auto,Four-Door Car,355.2
Washington,Male,College,8717.0498,83846.0,74.0,3,Personal Auto,Four-Door Car,355.2
California,Female,College,17476.6414,45106.0,73.0,0,Personal Auto,Four-Door Car,350.4
Arizona,Female,Bachelor,10479.8997,78435.0,130.0,0,Personal Auto,SUV,553.61131
California,Female,Bachelor,2242.5744,0.0,63.0,1,Corporate Auto,Two-Door Car,453.6
Oregon,Male,College,2754.4568,79507.0,70.0,3,Personal Auto,Two-Door Car,442.199439
Arizona,Male,High School or Below,8041.2006,44986.0,101.0,0,Corporate Auto,SUV,624.023564
Arizona,Male,College,6042.911899999999,25899.0,79.0,0,Personal Auto,Two-Door Car,568.8
Oregon,Male,Bachelor,2827.4389,13610.0,74.0,0,Personal Auto,Four-Door Car,355.2
Nevada,Male,Doctor,22041.8564,0.0,65.0,0,Personal Auto,Four-Door Car,312.0
California,Male,Bachelor,2796.8021999999996,77362.0,70.0,0,Personal Auto,Two-Door Car,386.599797
California,Male,High School or Below,4072.8494,96443.0,102.0,0,Personal Auto,SUV,489.6
California,Male,Master,5182.4623,0.0,135.0,1,Personal Auto,SUV,939.528475
Nevada,Male,Doctor,6131.663199999999,90778.0,76.0,0,Personal Auto,Four-Door Car,62.291009
California,Female,High School or Below,2392.1311,0.0,65.0,0,Corporate Auto,Four-Door Car,361.181122
Nevada,Female,Master,3209.663,78494.0,79.0,0,Personal Auto,Two-Door Car,122.305677
California,Female,Doctor,2808.6059999999998,83497.0,69.0,0,Special Auto,Four-Door Car,196.523187
Nevada,Male,College,4362.9312,58842.0,110.0,0,Personal Auto,Four-Door Car,528.0
Arizona,Male,College,6880.4689,63935.0,87.0,0,Personal Auto,Four-Door Car,221.61885
Oregon,Male,Bachelor,3591.0667,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
California,Male,High School or Below,5201.2522,0.0,69.0,0,Personal Auto,Four-Door Car,331.2
Oregon,Female,College,5521.5426,0.0,77.0,0,Personal Auto,Four-Door Car,369.6
Arizona,Female,Bachelor,5071.6515,62258.0,65.0,0,Personal Auto,Two-Door Car,117.450428
Nevada,Male,Bachelor,2921.6814,0.0,80.0,0,Corporate Auto,Four-Door Car,739.310493
California,Female,Master,15806.534,58516.0,98.0,0,Corporate Auto,Two-Door Car,470.4
Washington,Female,Bachelor,5749.8838,22814.0,73.0,0,Personal Auto,Four-Door Car,360.773462
California,Female,Bachelor,4167.4196,56901.0,104.0,0,Personal Auto,SUV,499.2
California,Male,High School or Below,6514.954000000001,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
California,Male,Doctor,9189.5183,99443.0,117.0,4,Personal Auto,SUV,228.049424
Oregon,Female,College,8231.223399999999,0.0,113.0,0,Personal Auto,SUV,373.073162
Arizona,Male,Master,3095.1753999999996,88246.0,77.0,1,Corporate Auto,Four-Door Car,428.608683
Washington,Male,High School or Below,6005.2148,26876.0,76.0,0,Corporate Auto,Four-Door Car,364.8
Nevada,Male,College,7582.1138,64801.0,64.0,0,Personal Auto,Four-Door Car,268.471802
Oregon,Female,College,16344.608100000001,57029.0,68.0,0,Corporate Auto,Two-Door Car,135.788525
Arizona,Female,College,11763.1525,28045.0,99.0,0,Personal Auto,Four-Door Car,475.2
Nevada,Male,Master,4053.3738,44661.0,101.0,0,Personal Auto,Two-Door Car,436.836944
Arizona,Female,High School or Below,3311.1578999999997,21246.0,83.0,0,Personal Auto,Four-Door Car,398.4
Nevada,Male,Doctor,3528.0443,31278.0,92.0,4,Personal Auto,Two-Door Car,441.6
California,Female,High School or Below,5595.3899,74454.0,71.0,0,Personal Auto,Four-Door Car,340.8
California,Male,Master,5089.6943,62474.0,63.0,0,Personal Auto,Four-Door Car,112.120881
Nevada,Male,High School or Below,22337.1631,0.0,130.0,0,Personal Auto,SUV,1376.910777
Arizona,Male,College,4792.8305,20647.0,63.0,0,Personal Auto,Four-Door Car,185.061408
California,Female,Bachelor,27789.692400000004,33806.0,89.0,0,Personal Auto,Four-Door Car,395.729716
Oregon,Female,Bachelor,7511.6606,0.0,70.0,0,Personal Auto,Four-Door Car,340.201412
Oregon,Male,High School or Below,18767.5516,0.0,111.0,0,Personal Auto,Sports Car,900.14526
California,Female,College,4987.6431,19589.0,127.0,0,Personal Auto,SUV,1027.010512
California,Female,College,5123.1968,22338.0,67.0,1,Personal Auto,Two-Door Car,307.801098
Nevada,Male,College,5989.7739,66839.0,154.0,0,Personal Auto,Sports Car,739.2
Washington,Female,High School or Below,2429.2805,26736.0,63.0,0,Personal Auto,Four-Door Car,367.92773
Oregon,Female,College,5828.182199999999,31364.0,74.0,0,Personal Auto,Four-Door Car,461.269135
Washington,Male,College,2831.5877,17752.0,77.0,0,Personal Auto,Four-Door Car,369.6
Oregon,Male,College,9767.936899999999,36225.0,123.0,0,Special Auto,SUV,221.048602
Oregon,Female,Doctor,12097.912199999999,0.0,107.0,0,Personal Auto,SUV,271.014511
California,Male,High School or Below,2265.3186,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Female,Bachelor,5719.0887,77601.0,71.0,0,Personal Auto,Two-Door Car,276.640352
Oregon,Male,Master,10171.4778,74243.0,84.0,0,Corporate Auto,Four-Door Car,71.311211
California,Female,College,10517.1564,46707.0,133.0,0,Personal Auto,Sports Car,80.70505
Oregon,Female,Bachelor,4303.4714,0.0,116.0,0,Personal Auto,SUV,765.566699
California,Male,College,11926.7533,50234.0,101.0,0,Personal Auto,Four-Door Car,484.8
