zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
,,,7799.463082427189,,110.3912662799606,,,,430.5271400681818
